"Pre-load",0.1,"N"
"Speed, flexure modulus",20,"mm/min"
"Test speed",20,"mm/min"
"Deformation","Standard force"
"mm","N"
1.32307,35.1908
1.32642,35.2803
1.32978,35.3725
1.33311,35.4661
1.33644,35.5549
1.33977,35.6501
1.34312,35.7475
1.34647,35.8395
1.34978,35.9335
1.35311,36.028
1.35644,36.121
1.3598,36.2124
1.36314,36.3012
1.36646,36.3824
1.36979,36.4745
1.37312,36.5618
1.37646,36.6512
1.37978,36.7405
1.3831,36.8278
1.38643,36.9115
1.38975,37.0027
1.3931,37.0842
1.39643,37.1706
1.39975,37.2583
1.40308,37.3446
1.40642,37.4288
1.40978,37.5074
1.41309,37.5922
1.41642,37.6784
1.41974,37.7675
1.42309,37.8535
1.42644,37.9479
1.42978,38.0388
1.43313,38.1312
1.43645,38.2192
1.43979,38.3192
1.44311,38.4149
1.44643,38.5063
1.44976,38.6003
1.4531,38.6918
1.45644,38.7847
1.45978,38.8764
1.46311,38.9667
1.46644,39.0579
1.46979,39.1479
1.47313,39.2294
1.47645,39.3188
1.47977,39.4063
1.4831,39.4911
1.48644,39.5805
1.48978,39.6661
1.49311,39.7491
1.49645,39.8338
1.49977,39.92
1.50312,40.0065
1.50644,40.0927
1.50975,40.1812
1.51308,40.2745
1.51642,40.3695
1.51975,40.4586
1.52309,40.5531
1.52642,40.6459
1.52976,40.7394
1.53311,40.8322
1.53646,40.9277
1.53977,41.0257
1.5431,41.1207
1.54643,41.213
1.54977,41.3028
1.55311,41.3949
1.55646,41.4827
1.55979,41.5736
1.56312,41.6654
1.56647,41.7566
1.5698,41.8423
1.57312,41.9241
1.57644,42.0123
1.57977,42.0998
1.58311,42.1867
1.58644,42.2728
1.58977,42.3598
1.59309,42.4429
1.59643,42.5266
1.59978,42.6124
1.60309,42.7002
1.60643,42.7934
1.60974,42.8765
1.61307,42.9585
1.61642,43.0436
1.61976,43.1327
1.6231,43.2184
1.62644,43.3085
1.62978,43.4007
1.63312,43.4887
1.63644,43.5802
1.63977,43.6696
1.64311,43.767
1.64645,43.8634
1.64978,43.9556
1.65309,44.0433
1.65643,44.1319
1.65979,44.2242
1.66312,44.3143
1.66644,44.4033
1.66977,44.4848
1.6731,44.5699
1.67643,44.6514
1.67978,44.7328
1.68312,44.8159
1.68645,44.906
1.68978,44.9955
1.69313,45.0839
1.69645,45.1643
1.69977,45.2491
1.7031,45.3395
1.70643,45.4267
1.70978,45.5164
1.71309,45.6064
1.71642,45.6986
1.71975,45.7869
1.72309,45.8825
1.72644,45.9709
1.72976,46.0634
1.7331,46.1531
1.73642,46.2432
1.73976,46.3292
1.74311,46.4149
1.74644,46.5065
1.74978,46.5946
1.75311,46.6842
1.75645,46.7656
1.75979,46.8532
1.76311,46.9427
1.76645,47.0332
1.76978,47.1201
1.77312,47.2142
1.77646,47.3031
1.77978,47.3879
1.78311,47.4807
1.78645,47.566
1.78979,47.6559
1.7931,47.7422
1.79643,47.8262
1.79975,47.9096
